26399;Five Deadly Venoms (1978);Action
26696;Lionheart (1990);Action
58627;Never Back Down (2008);Action
63276;Crows Zero (KurĂ´zu zero) (2007);Action
79553;Ip Man 2 (2010);Action
86142;13 Assassins (JĂ»san-nin no shikaku) (2010);Action
116169;Reign of Assassins (2010);Action
123310;Tornado! (1996);Action
126420;American Heist (2015);Action
129657;Tracers (2015);Action
135803;Five Element Ninjas (1982);Action
141400;Invincible Shaolin (1978);Action
147657;Masked Avengers (1981);Action
152591;Ip Man 3 (2015);Action
158402;The Crew (2016);Action
160438;Jason Bourne (2016);Action
160684;Marauders (2016);Action
161290;Vigilante Diaries (2016);Action
176935;Geostorm (2017);Action
9;Sudden Death (1995);Action
71;Fair Game (1995);Action
204;Under Siege 2: Dark Territory (1995);Action
667;Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996);Action
1170;Best of the Best 3: No Turning Back (1995);Action
1497;Double Team (1997);Action
1599;Steel (1997);Action
2196;Knock Off (1998);Action
2534;Avalanche (1978);Action
2817;Aces: Iron Eagle III (1992);Action
3283;Minnie and Moskowitz (1971);Action
3444;Bloodsport (1988);Action
3769;Thunderbolt and Lightfoot (1974);Action
4200;Double Impact (1991);Action
4387;Kiss of the Dragon (2001);Action
4441;Game of Death (1978);Action
4531;Red Heat (1988);Action
4568;Best of the Best (1989);Action
4614;Kickboxer (1989);Action
4630;No Holds Barred (1989);Action
5409;Rapid Fire (1992);Action
5580;Aspen Extreme (1993);Action
5922;Attila (Attila Flagello di Dio) (1982);Action
6095;Dragon Lord (a.k.a. Dragon Strike) (Long Xiao Ye) (1982);Action
6417;Live Wire (1992);Action
6723;Once Upon a Time in China III (Wong Fei-hung tsi sam: Siwong tsangba) (1993);Action
7192;Only the Strong (1993);Action
7310;Raw Deal (1986);Action
7376;Walking Tall (2004);Action
7899;Master of the Flying Guillotine (Du bi quan wang da po xue di zi) (1975);Action
