"Title" "MeanRating" "movieId" "genres"
"1" "Beautiful People (1999)" 5 3302 "Comedy"
"2" "Bill Hicks: Revelations (1993)" 5 102217 "Comedy"
"3" "Denise Calls Up (1995)" 5 633 "Comedy"
"4" "Dr. Goldfoot and the Bikini Machine (1965)" 5 4402 "Comedy"
"5" "Empties (2007)" 5 173963 "Comedy"
"6" "Formula of Love (1984)" 5 145994 "Comedy"
"7" "George Carlin: Back in Town (1996)" 5 136445 "Comedy"
"8" "George Carlin: It's Bad for Ya! (2008)" 5 129514 "Comedy"
"9" "George Carlin: Jammin' in New York (1992)" 5 140265 "Comedy"
"10" "George Carlin: Life Is Worth Losing (2005)" 5 130970 "Comedy"
"11" "George Carlin: You Are All Diseased (1999)" 5 136447 "Comedy"
"12" "Ghost Graduation (2012)" 5 134847 "Comedy"
"13" "Girls About Town (1931)" 5 84512 "Comedy"
"14" "Go for Zucker! (Alles auf Zucker!) (2004)" 5 44851 "Comedy"
"15" "Hollywood Shuffle (1987)" 5 4116 "Comedy"
"16" "I'm the One That I Want (2000)" 5 3851 "Comedy"
"17" "Jonah Who Will Be 25 in the Year 2000 (Jonas qui aura 25 ans en l'an 2000) (1976)" 5 3473 "Comedy"
"18" "Larry David: Curb Your Enthusiasm (1999)" 5 136469 "Comedy"
"19" "Live Nude Girls (1995)" 5 467 "Comedy"
"20" "My Man Godfrey (1957)" 5 3096 "Comedy"
"21" "National Lampoon's Bag Boy (2007)" 5 118834 "Comedy"
"22" "Obsession (1965)" 5 174551 "Comedy"
"23" "Oscar (1967)" 5 142020 "Comedy"
"24" "Radio Day (2008)" 5 134109 "Comedy"
"25" "Siam Sunset (1999)" 5 6402 "Comedy"
"26" "Tom Segura: Completely Normal (2014)" 5 128914 "Comedy"
"27" "Tom Segura: Mostly Stories (2016)" 5 162344 "Comedy"
"28" "Unfaithfully Yours (1948)" 5 25947 "Comedy"
"29" "What Men Talk About (2010)" 5 131237 "Comedy"
"30" "World of Glory (1991)" 5 158398 "Comedy"
