"Title" "MeanRating"
"1" "'71 (2014)" 4
"2" "'burbs, The (1989)" 3
"3" "'Hellboy': The Seeds of Creation (2004)" 4
"4" "'night Mother (1986)" 3
"5" "'Round Midnight (1986)" 4
"6" "'Salem's Lot (2004)" 5
"7" "'Til There Was You (1997)" 4
"8" "'Tis the Season for Love (2015)" 2
"9" "!Three Amigos! (1986)" 3
"10" "(500) Days of Summer (2009)" 4
"11" "*batteries not included (1987)" 3
"12" "...All the Marbles (1981)" 2
"13" "...And Justice for All (1979)" 3
"14" "[REC] (2007)" 4
"15" "[REC]2 (2009)" 4
"16" "[REC]3 3 Génesis (2012)" 3
"17" "00 Schneider - Jagd auf Nihil Baxter (1994)" 4
"18" "1-900 (06) (1994)" 4
"19" "10 (1979)" 3
"20" "10 Cent Pistol (2015)" 1
"21" "10 Cloverfield Lane (2016)" 4
"22" "10 Items or Less (2006)" 3
"23" "10 Things I Hate About You (1999)" 4
"24" "10 Years (2011)" 4
"25" "10,000 BC (2008)" 3
"26" "100 Girls (2000)" 3
"27" "100 Streets (2016)" 2
"28" "101 Dalmatians (1996)" 3
"29" "101 Dalmatians (One Hundred and One Dalmatians) (1961)" 3
"30" "101 Dalmatians II: Patch's London Adventure (2003)" 2
"31" "101 Reykjavik (101 Reykjavík) (2000)" 4
"32" "102 Dalmatians (2000)" 3
"33" "10th & Wolf (2006)" 4
"34" "10th Kingdom, The (2000)" 3
"35" "10th Victim, The (La decima vittima) (1965)" 4
"36" "11'09\"01 - September 11 (2002)" 4
"37" "11:14 (2003)" 4
"38" "11th Hour, The (2007)" 4
"39" "12 Angry Men (1957)" 4
"40" "12 Angry Men (1997)" 5
"41" "12 Chairs (1971)" 4
"42" "12 Chairs (1976)" 5
"43" "12 Rounds (2009)" 3
"44" "12 Years a Slave (2013)" 4
"45" "127 Hours (2010)" 4
"46" "13 Assassins (Jusan-nin no shikaku) (2010)" 4
"47" "13 Ghosts (1960)" 3
"48" "13 Going on 30 (2004)" 3
"49" "13 Hours (2016)" 3
"50" "13 Sins (2014)" 4
"51" "13 Tzameti (2005)" 4
"52" "13th (2016)" 4
"53" "13th Warrior, The (1999)" 3
"54" "1408 (2007)" 3
"55" "1492: Conquest of Paradise (1992)" 2
"56" "15 Minutes (2001)" 3
"57" "16 Blocks (2006)" 3
"58" "17 Again (2009)" 4
"59" "1776 (1972)" 4
"60" "18 Again! (1988)" 2
"61" "187 (One Eight Seven) (1997)" 3
"62" "1900 (Novecento) (1976)" 4
"63" "1941 (1979)" 3
"64" "1969 (1988)" 2
"65" "1984 (Nineteen Eighty-Four) (1984)" 4
"66" "2 Days in New York (2012)" 2
"67" "2 Days in Paris (2007)" 4
"68" "2 Days in the Valley (1996)" 3
"69" "2 Fast 2 Furious (Fast and the Furious 2, The) (2003)" 3
"70" "2 Guns (2013)" 4
"71" "20 Dates (1998)" 3
"72" "20 Feet from Stardom (Twenty Feet from Stardom) (2013)" 4
"73" "20 Million Miles to Earth (1957)" 5
"74" "20,000 Days on Earth (2014)" 4
"75" "20,000 Leagues Under the Sea (1916)" 4
"76" "20,000 Leagues Under the Sea (1954)" 3
"77" "200 Cigarettes (1999)" 3
"78" "2001 Maniacs (2005)" 3
"79" "2001: A Space Odyssey (1968)" 4
"80" "2010: The Year We Make Contact (1984)" 4
"81" "2012 (2009)" 3
"82" "2046 (2004)" 4
"83" "2048: Nowhere to Run (2017)" 4
"84" "21 (2008)" 4
"85" "21 and Over (2013)" 4
"86" "21 Grams (2003)" 3
"87" "21 Jump Street (2012)" 4
"88" "21 Up (1977)" 4
"89" "22 Jump Street (2014)" 4
"90" "24 Hour Party People (2002)" 4
"91" "25th Hour (2002)" 4
"92" "27 Dresses (2008)" 3
"93" "28 Days (2000)" 3
"94" "28 Days Later (2002)" 4
"95" "28 Up (1985)" 4
"96" "28 Weeks Later (2007)" 4
"97" "3-Iron (Bin-jip) (2004)" 4
"98" "3 Days to Kill (2014)" 1
"99" "3 dev adam (Three Giant Men) (1973)" 0
"100" "3 Extremes (Three... Extremes) (Saam gaang yi) (2004)" 3
"101" "3 Idiots (2009)" 5
"102" "3 Ninjas (1992)" 2
"103" "3 Ninjas Kick Back (1994)" 1
"104" "3 Ninjas Knuckle Up (1995)" 0
"105" "3 Ninjas: High Noon On Mega Mountain (1998)" 4
"106" "3 Women (Three Women) (1977)" 4
