"Title" "MeanRating" "movieId" "genres"
"1" "Aces: Iron Eagle III (1992)" 2 2817 "Action"
"2" "American Heist (2015)" 2 126420 "Action"
"3" "Aspen Extreme (1993)" 4 5580 "Action"
"4" "Attila (Attila Flagello di Dio) (1982)" 2 5922 "Action"
"5" "Avalanche (1978)" 2 2534 "Action"
"6" "Best of the Best (1989)" 2 4568 "Action"
"7" "Best of the Best 3: No Turning Back (1995)" 2 1170 "Action"
"8" "Bloodsport (1988)" 3 3444 "Action"
"9" "Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996)" 3 667 "Action"
"10" "Double Impact (1991)" 3 4200 "Action"
"11" "Double Team (1997)" 4 1497 "Action"
"12" "Dragon Lord (a.k.a. Dragon Strike) (Long Xiao Ye) (1982)" 4 6095 "Action"
"13" "Fair Game (1995)" 2 71 "Action"
"14" "Five Deadly Venoms (1978)" 4 26399 "Action"
"15" "Five Element Ninjas (1982)" 4 135803 "Action"
"16" "Game of Death (1978)" 4 4441 "Action"
"17" "Geostorm (2017)" 2 176935 "Action"
"18" "Invincible Shaolin (1978)" 4 141400 "Action"
"19" "Ip Man 2 (2010)" 3 79553 "Action"
"20" "Ip Man 3 (2015)" 4 152591 "Action"
"21" "Jason Bourne (2016)" 3 160438 "Action"
"22" "Kickboxer (1989)" 2 4614 "Action"
"23" "Kiss of the Dragon (2001)" 4 4387 "Action"
"24" "Knock Off (1998)" 5 2196 "Action"
"25" "Lionheart (1990)" 0 26696 "Action"
"26" "Live Wire (1992)" 4 6417 "Action"
"27" "Marauders (2016)" 4 160684 "Action"
"28" "Masked Avengers (1981)" 4 147657 "Action"
"29" "Master of the Flying Guillotine (Du bi quan wang da po xue di zi) (1975)" 4 7899 "Action"
"30" "Minnie and Moskowitz (1971)" 3 3283 "Action"
"31" "Never Back Down (2008)" 4 58627 "Action"
"32" "No Holds Barred (1989)" 1 4630 "Action"
"33" "Once Upon a Time in China III (Wong Fei-hung tsi sam: Siwong tsangba) (1993)" 3 6723 "Action"
"34" "Only the Strong (1993)" 3 7192 "Action"
"35" "Rapid Fire (1992)" 4 5409 "Action"
"36" "Raw Deal (1986)" 3 7310 "Action"
"37" "Red Heat (1988)" 3 4531 "Action"
"38" "Reign of Assassins (2010)" 2 116169 "Action"
"39" "Steel (1997)" 2 1599 "Action"
"40" "Sudden Death (1995)" 3 9 "Action"
"41" "The Crew (2016)" 2 158402 "Action"
"42" "Thunderbolt and Lightfoot (1974)" 3 3769 "Action"
"43" "Tornado! (1996)" 2 123310 "Action"
"44" "Tracers (2015)" 1 129657 "Action"
"45" "Under Siege 2: Dark Territory (1995)" 3 204 "Action"
"46" "Vigilante Diaries (2016)" 1 161290 "Action"
"47" "Walking Tall (2004)" 3 7376 "Action"
