"Title" "MeanRating" "movieId" "genres"
"1" "2 Days in New York (2012)" 2 95744 "Comedy"
"2" "21 and Over (2013)" 4 100507 "Comedy"
"3" "7 Days in Hell (2015)" 4 138204 "Comedy"
"4" "8 Heads in a Duffel Bag (1997)" 3 1503 "Comedy"
"5" "99 francs (2007)" 4 59026 "Comedy"
"6" "A Bad Moms Christmas (2017)" 4 179953 "Comedy"
"7" "A Merry Friggin' Christmas (2014)" 2 119964 "Comedy"
"8" "A Very Murray Christmas (2015)" 2 148238 "Comedy"
"9" "About Adam (2000)" 4 3862 "Comedy"
"10" "Accepted (2006)" 3 47518 "Comedy"
"11" "Ace Ventura: Pet Detective (1994)" 3 344 "Comedy"
"12" "Ace Ventura: When Nature Calls (1995)" 3 19 "Comedy"
"13" "Airheads (1994)" 3 413 "Comedy"
"14" "Airplane II: The Sequel (1982)" 3 2792 "Comedy"
"15" "Airplane! (1980)" 4 2791 "Comedy"
"16" "Alan Partridge: Alpha Papa (2013)" 4 104078 "Comedy"
"17" "Ali G Indahouse (2002)" 3 27478 "Comedy"
"18" "All Over the Guy (2001)" 3 4722 "Comedy"
"19" "All Roads Lead to Rome (2016)" 2 164375 "Comedy"
"20" "Almost an Angel (1990)" 2 26676 "Comedy"
"21" "American Pie 2 (2001)" 3 4718 "Comedy"
"22" "American Pie Presents Beta House (American Pie 6: Beta House) (2007)" 3 59429 "Comedy"
"23" "American Pie Presents: Band Camp (American Pie 4: Band Camp) (2005)" 2 39715 "Comedy"
"24" "American Pie Presents: The Book of Love (American Pie 7: The Book of Love) (2009)" 2 73106 "Comedy"
"25" "American Reunion (American Pie 4) (2012)" 3 93831 "Comedy"
"26" "American Wedding (American Pie 3) (2003)" 3 6586 "Comedy"
"27" "Amos & Andrew (1993)" 2 1440 "Comedy"
"28" "Analyze This (1999)" 3 2539 "Comedy"
"29" "Anchorman 2: The Legend Continues (2013)" 3 107348 "Comedy"
"30" "Anchorman: The Legend of Ron Burgundy (2004)" 4 8641 "Comedy"
"31" "Andrew Dice Clay: Dice Rules (1991)" 4 193609 "Comedy"
"32" "Anger Management (2003)" 3 6287 "Comedy"
"33" "Angus (1995)" 3 700 "Comedy"
"34" "Animal House (1978)" 4 3421 "Comedy"
"35" "Another Gay Movie (2006)" 4 49735 "Comedy"
"36" "Any Which Way You Can (1980)" 2 4714 "Comedy"
"37" "Applesauce (2015)" 4 148632 "Comedy"
"38" "Are We Done Yet? (2007)" 2 52279 "Comedy"
"39" "Ari Shaffir: Double Negative (2017)" 4 176329 "Comedy"
"40" "Arthur (2011)" 3 86293 "Comedy"
"41" "Austin Powers in Goldmember (2002)" 3 5481 "Comedy"
"42" "B*A*P*S (1997)" 2 1490 "Comedy"
"43" "Baby's Day Out (1994)" 1 5096 "Comedy"
"44" "Baby Boom (1987)" 3 4080 "Comedy"
"45" "Baby Geniuses (1999)" 2 2555 "Comedy"
"46" "Baby Mama (2008)" 3 59258 "Comedy"
"47" "Bachelor Party (1984)" 3 3525 "Comedy"
"48" "Back to School (1986)" 3 2416 "Comedy"
"49" "Back to the Beach (1987)" 2 4081 "Comedy"
"50" "Bad Moms (2016)" 4 161580 "Comedy"
"51" "Bad Santa 2 (2016)" 0 165645 "Comedy"
"52" "Bad Teacher (2011)" 3 87485 "Comedy"
"53" "Bad Words (2013)" 2 109895 "Comedy"
"54" "Balls of Fury (2007)" 3 54732 "Comedy"
"55" "Balls Out: Gary the Tennis Coach (2009)" 2 68600 "Comedy"
"56" "Bamboozled (2000)" 3 3943 "Comedy"
"57" "Banana Joe (1981)" 3 5710 "Comedy"
"58" "Barbershop (2002)" 3 5572 "Comedy"
"59" "Barbershop 2: Back in Business (2004)" 2 7261 "Comedy"
"60" "Barbershop: The Next Cut (2016)" 2 157270 "Comedy"
"61" "Barefoot in the Park (1967)" 3 2870 "Comedy"
"62" "BASEketball (1998)" 3 2060 "Comedy"
"63" "Be Kind Rewind (2008)" 3 55830 "Comedy"
