"Title" "MeanRating" "movieId" "genres"
"1" "'71 (2014)" 4 117867 "Action|Drama|Thriller|War"
"2" "'burbs, The (1989)" 3 2072 "Comedy"
"3" "'Hellboy': The Seeds of Creation (2004)" 4 97757 "Action|Adventure|Comedy|Documentary|Fantasy"
"4" "'night Mother (1986)" 3 3112 "Drama"
"5" "'Round Midnight (1986)" 4 26564 "Drama|Musical"
"6" "'Salem's Lot (2004)" 5 27751 "Drama|Horror|Mystery|Thriller"
"7" "'Til There Was You (1997)" 4 779 "Drama|Romance"
"8" "'Tis the Season for Love (2015)" 2 149380 "Romance"
"9" "!Three Amigos! (1986)" 3 2478 "Comedy|Western"
"10" "(500) Days of Summer (2009)" 4 69757 "Comedy|Drama|Romance"
"11" "*batteries not included (1987)" 3 8169 "Children|Comedy|Fantasy|Sci-Fi"
"12" "...All the Marbles (1981)" 2 5706 "Comedy|Drama"
"13" "...And Justice for All (1979)" 3 3420 "Drama|Thriller"
"14" "[REC] (2007)" 4 57274 "Drama|Horror|Thriller"
"15" "[REC]2 (2009)" 4 74750 "Horror|Thriller"
"16" "[REC]3 3 Génesis (2012)" 3 97643 "Horror|Thriller"
"17" "00 Schneider - Jagd auf Nihil Baxter (1994)" 4 157110 "Comedy|Crime"
"18" "1-900 (06) (1994)" 4 889 "Drama|Romance"
"19" "10 (1979)" 3 6658 "Comedy|Romance"
"20" "10 Cent Pistol (2015)" 1 139717 "Crime|Thriller"
"21" "10 Cloverfield Lane (2016)" 4 152077 "Thriller"
"22" "10 Items or Less (2006)" 3 49284 "Comedy|Drama|Romance"
"23" "10 Things I Hate About You (1999)" 4 2572 "Comedy|Romance"
"24" "10 Years (2011)" 4 98230 "Comedy|Drama|Romance"
"25" "10,000 BC (2008)" 3 58293 "Adventure|Romance|Thriller"
"26" "100 Girls (2000)" 3 7541 "Comedy|Romance"
"27" "100 Streets (2016)" 2 168350 "Drama"
"28" "101 Dalmatians (1996)" 3 1367 "Adventure|Children|Comedy"
"29" "101 Dalmatians (One Hundred and One Dalmatians) (1961)" 3 2085 "Adventure|Animation|Children"
"30" "101 Dalmatians II: Patch's London Adventure (2003)" 2 121099 "Animation|Children"
"31" "101 Reykjavik (101 Reykjavík) (2000)" 4 6344 "Comedy|Drama|Romance"
"32" "102 Dalmatians (2000)" 3 3991 "Children|Comedy"
"33" "10th & Wolf (2006)" 4 55391 "Crime|Drama|Thriller"
"34" "10th Kingdom, The (2000)" 3 27251 "Adventure|Comedy|Fantasy"
"35" "10th Victim, The (La decima vittima) (1965)" 4 4434 "Action|Comedy|Sci-Fi|Thriller"
"36" "11'09\"01 - September 11 (2002)" 4 7789 "Drama"
"37" "11:14 (2003)" 4 27674 "Comedy|Crime|Drama|Mystery|Thriller"
"38" "11th Hour, The (2007)" 4 66320 "Documentary"
"39" "12 Angry Men (1957)" 4 1203 "Drama"
"40" "12 Angry Men (1997)" 5 77846 "Crime|Drama"
"41" "12 Chairs (1971)" 4 141844 "Adventure|Comedy"
"42" "12 Chairs (1976)" 5 141816 "Adventure|Comedy"
"43" "12 Rounds (2009)" 3 70361 "Action|Thriller"
"44" "12 Years a Slave (2013)" 4 105844 "Drama"
"45" "127 Hours (2010)" 4 81562 "Adventure|Drama|Thriller"
"46" "13 Assassins (Jusan-nin no shikaku) (2010)" 4 86142 "Action"
"47" "13 Ghosts (1960)" 3 4792 "Horror"
"48" "13 Going on 30 (2004)" 3 7444 "Comedy|Fantasy|Romance"
"49" "13 Hours (2016)" 3 138210 "Drama"
"50" "13 Sins (2014)" 4 110286 "Horror|Thriller"
"51" "13 Tzameti (2005)" 4 48872 "Film-Noir|Thriller"
"52" "13th (2016)" 4 164917 "Documentary"
"53" "13th Warrior, The (1999)" 3 2826 "Action|Adventure|Fantasy"
"54" "1408 (2007)" 3 53953 "Drama|Horror|Thriller"
"55" "1492: Conquest of Paradise (1992)" 2 8905 "Adventure|Drama"
"56" "15 Minutes (2001)" 3 4167 "Thriller"
"57" "16 Blocks (2006)" 3 43936 "Crime|Thriller"
"58" "17 Again (2009)" 4 68135 "Comedy|Drama"
"59" "1776 (1972)" 4 5472 "Children|Drama|Musical"
"60" "18 Again! (1988)" 2 4462 "Comedy|Fantasy"
"61" "187 (One Eight Seven) (1997)" 3 1609 "Drama|Thriller"
"62" "1900 (Novecento) (1976)" 4 26359 "Drama|War"
"63" "1941 (1979)" 3 7104 "Comedy|War"
"64" "1969 (1988)" 2 4463 "Drama|War"
"65" "1984 (Nineteen Eighty-Four) (1984)" 4 2117 "Drama|Sci-Fi"
"66" "2 Days in New York (2012)" 2 95744 "Comedy"
"67" "2 Days in Paris (2007)" 4 54796 "Comedy|Drama|Romance"
"68" "2 Days in the Valley (1996)" 3 999 "Crime|Film-Noir"
"69" "2 Fast 2 Furious (Fast and the Furious 2, The) (2003)" 3 6383 "Action|Crime|Thriller"
"70" "2 Guns (2013)" 4 103883 "Action|Comedy|Crime"
"71" "20 Dates (1998)" 3 2492 "Comedy|Romance"
"72" "20 Feet from Stardom (Twenty Feet from Stardom) (2013)" 4 103107 "Documentary"
