"Title" "MeanRating" "movieId" "genres"
"1" "'Tis the Season for Love (2015)" 2 149380 "Romance"
"2" "...All the Marbles (1981)" 2 5706 "Comedy|Drama"
"3" "100 Streets (2016)" 2 168350 "Drama"
"4" "101 Dalmatians II: Patch's London Adventure (2003)" 2 121099 "Animation|Children"
"5" "1492: Conquest of Paradise (1992)" 2 8905 "Adventure|Drama"
"6" "18 Again! (1988)" 2 4462 "Comedy|Fantasy"
"7" "1969 (1988)" 2 4463 "Drama|War"
"8" "2 Days in New York (2012)" 2 95744 "Comedy"
"9" "3 Ninjas (1992)" 2 4748 "Action|Children|Comedy"
"10" "300: Rise of an Empire (2014)" 2 109673 "Action|Drama|War|IMAX"
"11" "5 to 7 (2014)" 2 134021 "Comedy|Drama|Romance"
"12" "54 (1998)" 2 2188 "Drama"
"13" "6th Man, The (Sixth Man, The) (1997)" 2 6425 "Comedy"
"14" "800 Bullets (800 Balas) (2002)" 2 32392 "Comedy|Crime|Drama|Western"
"15" "96 Minutes (2011)" 2 94494 "Drama|Thriller"
"16" "A Christmas Story Live! (2017)" 2 182727 "(no genres listed)"
"17" "A Merry Friggin' Christmas (2014)" 2 119964 "Comedy"
"18" "A Very Murray Christmas (2015)" 2 148238 "Comedy"
"19" "Abandoned, The (2006)" 2 51666 "Horror|Mystery|Thriller"
"20" "About Last Night (2014)" 2 109372 "Comedy|Romance"
"21" "Above the Law (1988)" 2 4466 "Action|Crime|Drama"
"22" "Above the Rim (1994)" 2 409 "Crime|Drama"
"23" "Accidental Spy, The (Dak miu mai shing) (2001)" 2 27426 "Action|Comedy|Thriller"
"24" "Aces: Iron Eagle III (1992)" 2 2817 "Action"
"25" "Across the Hall (2009)" 2 86960 "Thriller"
"26" "Action Jackson (1988)" 2 3710 "Action|Comedy|Crime|Thriller"
"27" "Adam and Eve (National Lampoon's Adam & Eve) (2005)" 2 103245 "Comedy|Drama|Romance"
"28" "Adanggaman (2000)" 2 4449 "Drama"
"29" "Addiction, The (1995)" 2 152 "Drama|Horror"
"30" "Adventures of Elmo in Grouchland, The (1999)" 2 2886 "Children|Comedy"
"31" "Adventures of Huck Finn, The (1993)" 2 5076 "Adventure|Children|Comedy|Drama"
"32" "Adventures of Pluto Nash, The (2002)" 2 5523 "Action|Adventure|Comedy|Sci-Fi"
"33" "Adventures of Rocky and Bullwinkle, The (2000)" 2 3754 "Adventure|Animation|Children|Comedy|Fantasy"
"34" "Adventures of Sharkboy and Lavagirl 3-D, The (2005)" 2 33681 "Action|Adventure|Children|Fantasy"
"35" "African Cats (2011)" 2 86593 "Adventure|Documentary"
"36" "Afro Samurai (2007)" 2 139130 "Action|Adventure|Animation|Drama|Fantasy"
"37" "Afro Samurai: Resurrection (2009)" 2 66335 "Animation"
"38" "Against All Odds (1984)" 2 3206 "Romance"
"39" "Against the Ropes (2004)" 2 7315 "Comedy|Drama"
"40" "Agent Cody Banks (2003)" 2 6624 "Action|Adventure|Children|Fantasy"
"41" "Air Bud (1997)" 2 1592 "Children|Comedy"
"42" "Air Bud: Golden Receiver (1998)" 2 2152 "Children|Comedy"
"43" "Air Up There, The (1994)" 2 414 "Comedy"
"44" "Airborne (1993)" 2 33629 "Adventure|Comedy"
"45" "Airport (1970)" 2 2520 "Drama"
"46" "Albatross (2011)" 2 91935 "Drama"
"47" "Albino Alligator (1996)" 2 1352 "Crime|Thriller"
"48" "Alex and Emma (2003)" 2 6493 "Comedy|Drama|Romance"
"49" "Alex Cross (2012)" 2 97742 "Action|Crime|Mystery|Thriller"
"50" "Alexander (2004)" 2 8977 "Action|Adventure|Drama|War"
"51" "Alfie (2004)" 2 8948 "Comedy|Drama|Romance"
"52" "Alias Betty (Betty Fisher et autres histoires) (2001)" 2 5575 "Crime|Drama"
"53" "Alice Through the Looking Glass (2016)" 2 158813 "Adventure|Children|Fantasy"
"54" "All About the Benjamins (2002)" 2 5170 "Action|Comedy|Crime"
"55" "All is Bright (2013)" 2 106883 "Comedy|Drama"
"56" "All of Me (1984)" 2 8610 "Comedy|Fantasy"
"57" "All Roads Lead to Rome (2016)" 2 164375 "Comedy"
"58" "All the Pretty Horses (2000)" 2 4031 "Drama|Romance|Western"
"59" "All the Right Moves (1983)" 2 5226 "Drama|Romance"
"60" "Allan Quatermain and the Lost City of Gold (1987)" 2 2748 "Action|Adventure|Comedy"
"61" "Alligator (1980)" 2 2525 "Action|Horror|Sci-Fi"
"62" "Allnighter, The (1987)" 2 2244 "Comedy|Romance"
"63" "Almost an Angel (1990)" 2 26676 "Comedy"
"64" "Almost Heroes (1998)" 2 1887 "Adventure|Comedy|Western"
"65" "Alvin and the Chipmunks (2007)" 2 56176 "Children|Comedy"
