"Title" "MeanRating" "movieId" "genres"
"1" "Browning Version, The (1951)" NA 34482 "Drama"
"2" "Call Northside 777 (1948)" NA 32371 "Crime|Drama|Film-Noir"
"3" "Chalet Girl (2011)" NA 85565 "Comedy|Romance"
"4" "Chosen, The (1981)" NA 5721 "Drama"
"5" "Color of Paradise, The (Rang-e khoda) (1999)" NA 3456 "Drama"
"6" "For All Mankind (1989)" NA 3338 "Documentary"
"7" "I Know Where I'm Going! (1945)" NA 4194 "Drama|Romance|War"
"8" "In the Realms of the Unreal (2004)" NA 30892 "Animation|Documentary"
"9" "Innocents, The (1961)" NA 1076 "Drama|Horror|Thriller"
"10" "Mutiny on the Bounty (1962)" NA 26085 "Adventure|Drama|Romance"
"11" "Niagara (1953)" NA 2939 "Drama|Thriller"
"12" "Parallax View, The (1974)" NA 7792 "Thriller"
"13" "Proof (1991)" NA 7020 "Comedy|Drama|Romance"
"14" "Road Home, The (Wo de fu qin mu qin) (1999)" NA 6668 "Drama|Romance"
"15" "Roaring Twenties, The (1939)" NA 25855 "Crime|Drama|Thriller"
"16" "Scrooge (1970)" NA 6849 "Drama|Fantasy|Musical"
"17" "This Gun for Hire (1942)" NA 8765 "Crime|Film-Noir|Thriller"
"18" "Twentieth Century (1934)" NA 32160 "Comedy"
